zcta,downloadDate,population,fullyVaxxed,pctFullyVaxxed
46742,2021-09-02,3290,1380,0.419452887537994
46743,2021-09-02,2050,706,0.344390243902439
46745,2021-09-02,2146,829,0.386300093196645
46746,2021-09-02,4640,1172,0.252586206896552
46747,2021-09-02,2292,850,0.370855148342059
46748,2021-09-02,5021,3305,0.658235411272655
46750,2021-09-02,26499,10208,0.385222083852221
46755,2021-09-02,15097,5631,0.372988010863085
46759,2021-09-02,508,146,0.28740157480315
46760,2021-09-02,1381,443,0.320782041998552
46761,2021-09-02,12325,2809,0.227910750507099
46763,2021-09-02,1881,660,0.350877192982456
46764,2021-09-02,1385,444,0.32057761732852
46765,2021-09-02,5568,2474,0.444324712643678
46766,2021-09-02,737,153,0.207598371777476
46767,2021-09-02,8102,2499,0.308442359911133
46770,2021-09-02,3057,1046,0.342165521753353
46771,2021-09-02,72,0,0
46772,2021-09-02,3087,503,0.162941367023
46773,2021-09-02,3392,1373,0.404775943396226
46774,2021-09-02,17221,7194,0.417745775506649
46776,2021-09-02,1715,529,0.308454810495627
46777,2021-09-02,6493,2599,0.400277221623287
46779,2021-09-02,2144,716,0.333955223880597
46781,2021-09-02,728,276,0.379120879120879
46783,2021-09-02,6651,3550,0.533754322658247
46784,2021-09-02,2159,863,0.399722093561834
46785,2021-09-02,1686,441,0.261565836298932
46786,2021-09-02,39,0,0
46787,2021-09-02,3865,1256,0.32496765847348
46788,2021-09-02,3723,979,0.262959978511953
46791,2021-09-02,865,315,0.364161849710983
46792,2021-09-02,3756,1434,0.381789137380192
46793,2021-09-02,4874,1463,0.300164136233073
46794,2021-09-02,1709,418,0.244587478057344
46795,2021-09-02,6651,2047,0.307773267177868
46797,2021-09-02,3915,1188,0.303448275862069
46798,2021-09-02,1515,573,0.378217821782178
46799,2021-09-02,227,147,0.647577092511013
46802,2021-09-02,10584,4270,0.403439153439153
46803,2021-09-02,9425,2535,0.268965517241379
46804,2021-09-02,28587,15820,0.553398397873159
46805,2021-09-02,21704,9427,0.434343899741983
46806,2021-09-02,24711,8056,0.326008660110882
46807,2021-09-02,17538,6812,0.388413730185882
46808,2021-09-02,19831,7714,0.388986939639958
46809,2021-09-02,9212,3526,0.382761615284412
46814,2021-09-02,12649,9813,0.77579255277097
46815,2021-09-02,28242,12876,0.455916719779053
46816,2021-09-02,19055,8059,0.422933613224875
46818,2021-09-02,20852,9821,0.470985996547094
46819,2021-09-02,9657,3865,0.400227814020917
46825,2021-09-02,29507,14196,0.481106178195005
46835,2021-09-02,35658,17397,0.487884906612822
46845,2021-09-02,23066,15388,0.667129107777681
46901,2021-09-02,39383,13412,0.340553030495391
46902,2021-09-02,35778,15012,0.419587455978534
46910,2021-09-02,3376,1092,0.32345971563981
46911,2021-09-02,1483,376,0.25354012137559
46913,2021-09-02,1048,457,0.436068702290076
46914,2021-09-02,1729,1617,0.935222672064777
46915,2021-09-02,694,253,0.364553314121038
46917,2021-09-02,1781,565,0.317237507018529
46919,2021-09-02,2407,696,0.289156626506024
46920,2021-09-02,1103,366,0.331822302810517
46922,2021-09-02,31,0,0
46923,2021-09-02,8046,3010,0.374098931145911
46926,2021-09-02,1293,456,0.352668213457077
46928,2021-09-02,4265,1686,0.395310668229777
46929,2021-09-02,3088,1072,0.347150259067358
