zcta,downloadDate,cases
46382,2021-08-12,226
46409,2021-08-12,562
46570,2021-08-12,
47306,2021-08-12,129
47396,2021-08-12,848
47441,2021-08-12,974
47567,2021-08-12,801
46562,2021-08-12,523
46616,2021-08-12,632
46721,2021-08-12,504
46807,2021-08-12,1737
47944,2021-08-12,427
46044,2021-08-12,339
46064,2021-08-12,1885
46106,2021-08-12,1004
46565,2021-08-12,504
46574,2021-08-12,830
46635,2021-08-12,891
46701,2021-08-12,870
46777,2021-08-12,737
46783,2021-08-12,792
47060,2021-08-12,731
47165,2021-08-12,615
47265,2021-08-12,1948
47334,2021-08-12,324
47336,2021-08-12,335
47359,2021-08-12,281
46320,2021-08-12,1548
46327,2021-08-12,1313
46346,2021-08-12,
46349,2021-08-12,353
46303,2021-08-12,1860
46390,2021-08-12,266
46501,2021-08-12,415
46538,2021-08-12,484
46347,2021-08-12,467
46366,2021-08-12,560
46404,2021-08-12,1392
46408,2021-08-12,1298
46113,2021-08-12,1853
46163,2021-08-12,1583
46164,2021-08-12,382
46166,2021-08-12,219
47140,2021-08-12,252
47172,2021-08-12,2249
47243,2021-08-12,615
47246,2021-08-12,412
46711,2021-08-12,754
46723,2021-08-12,790
46738,2021-08-12,930
46809,2021-08-12,901
46371,2021-08-12,383
46391,2021-08-12,960
46392,2021-08-12,831
46406,2021-08-12,804
47933,2021-08-12,3499
47957,2021-08-12,154
47963,2021-08-12,188
47971,2021-08-12,222
46534,2021-08-12,1153
46601,2021-08-12,629
46613,2021-08-12,1531
46748,2021-08-12,870
46121,2021-08-12,483
46126,2021-08-12,498
46181,2021-08-12,570
46202,2021-08-12,2314
47639,2021-08-12,698
47725,2021-08-12,2785
47901,2021-08-12,343
47923,2021-08-12,456
46161,2021-08-12,269
46511,2021-08-12,728
46536,2021-08-12,372
46619,2021-08-12,3000
46989,2021-08-12,535
46992,2021-08-12,2090
47220,2021-08-12,600
47330,2021-08-12,621
47666,2021-08-12,
47710,2021-08-12,2315
47803,2021-08-12,2341
47879,2021-08-12,275
47610,2021-08-12,700
47660,2021-08-12,548
47904,2021-08-12,1923
47932,2021-08-12,870
47348,2021-08-12,1130
47424,2021-08-12,824
47429,2021-08-12,769
47542,2021-08-12,1444
46784,2021-08-12,258
46797,2021-08-12,365
46803,2021-08-12,962
46805,2021-08-12,2621
47122,2021-08-12,1168
47371,2021-08-12,1206
47446,2021-08-12,942
47460,2021-08-12,1190
46765,2021-08-12,658
46774,2021-08-12,1994
46795,2021-08-12,596
46802,2021-08-12,1060
46402,2021-08-12,427
46552,2021-08-12,747
46556,2021-08-12,1777
46567,2021-08-12,1223
47872,2021-08-12,910
47882,2021-08-12,900
46031,2021-08-12,219
46052,2021-08-12,2526
46407,2021-08-12,790
46550,2021-08-12,1436
46582,2021-08-12,1773
47670,2021-08-12,1811
47421,2021-08-12,3102
47443,2021-08-12,
47562,2021-08-12,340
47715,2021-08-12,3617
47990,2021-08-12,194
46041,2021-08-12,3387
46118,2021-08-12,504
46167,2021-08-12,833
47018,2021-08-12,478
47240,2021-08-12,2366
47260,2021-08-12,164
47302,2021-08-12,2407
47920,2021-08-12,279
46016,2021-08-12,1675
46062,2021-08-12,4231
46128,2021-08-12,199
46173,2021-08-12,1211
46231,2021-08-12,1282
46259,2021-08-12,1568
46341,2021-08-12,1206
47006,2021-08-12,1234
47012,2021-08-12,1032
47111,2021-08-12,1800
47119,2021-08-12,1212
47960,2021-08-12,1961
46036,2021-08-12,1309
46040,2021-08-12,1819
46055,2021-08-12,1647
47842,2021-08-12,1167
47978,2021-08-12,1231
46107,2021-08-12,1358
46394,2021-08-12,1259
46615,2021-08-12,1653
46714,2021-08-12,1692
46761,2021-08-12,1062
47001,2021-08-12,1099
46814,2021-08-12,1850
46923,2021-08-12,1003
47167,2021-08-12,1495
47807,2021-08-12,1204
46186,2021-08-12,185
46205,2021-08-12,2689
46278,2021-08-12,887
46311,2021-08-12,2821
47117,2021-08-12,447
47129,2021-08-12,2274
47161,2021-08-12,418
47250,2021-08-12,2642
46373,2021-08-12,2017
46405,2021-08-12,1354
46506,2021-08-12,1235
46540,2021-08-12,1222
46310,2021-08-12,1610
46403,2021-08-12,926
46507,2021-08-12,1219
46561,2021-08-12,1922
47586,2021-08-12,1060
47601,2021-08-12,1769
47620,2021-08-12,1691
47804,2021-08-12,1385
46011,2021-08-12,1835
46012,2021-08-12,1897
46013,2021-08-12,1865
46228,2021-08-12,1429
47909,2021-08-12,5613
46069,2021-08-12,846
46072,2021-08-12,1134
46280,2021-08-12,699
46793,2021-08-12,388
46804,2021-08-12,3183
46825,2021-08-12,3472
46952,2021-08-12,2183
46034,2021-08-12,808
46122,2021-08-12,1930
46176,2021-08-12,3459
46229,2021-08-12,2962
46184,2021-08-12,1477
46217,2021-08-12,4482
46225,2021-08-12,609
46260,2021-08-12,3244
46808,2021-08-12,1938
46818,2021-08-12,2428
46975,2021-08-12,1370
47112,2021-08-12,2213
46356,2021-08-12,2315
46614,2021-08-12,3846
46743,2021-08-12,243
46750,2021-08-12,3091
46218,2021-08-12,2673
46221,2021-08-12,2879
46234,2021-08-12,3086
46256,2021-08-12,2298
46304,2021-08-12,3109
46321,2021-08-12,2595
