zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
47638,0.764017660562861,423,275,3492,0,0,14,8,0.253561253561254,rural
47712,0.618972412452968,2891,1393,25066,589,295,303,511,0.26715355345526,rural
47836,0.756410256410256,0,0,0,0,0,0,0,,rural
47841,0.839343907140728,418,5,2261,0,7,3,34,0.140917905623788,rural
47847,0.747284471537506,187,45,1137,0,0,17,33,0.132934131736527,rural
47848,0.768287537124824,242,27,1523,32,0,30,31,0.0905829596412556,rural
47849,0.808504317535044,30,7,443,59,0,0,0,0.22258064516129,rural
47860,0.741610738255034,63,0,419,0,0,0,6,0.093167701863354,rural
47861,0.727281203895648,58,59,637,0,0,21,5,0.276190476190476,rural
47866,0.732115262507201,132,0,373,0,0,240,0,0.106382978723404,rural
47881,0.775811209439528,55,4,327,0,0,2,0,0.0847457627118644,rural
47904,0.463595851251445,2571,433,13249,1269,164,2189,414,0.214762741652021,urban
47905,0.571563480870626,6454,1707,33010,2428,618,4479,1096,0.320758831225469,suburban
46774,0.749744252576349,2210,976,16084,308,30,493,306,0.20158511371468,rural
46788,0.855916553151752,501,463,3523,16,0,141,43,0.23509452253999,rural
46791,0.799441709128851,110,13,843,0,2,0,20,0.221843003412969,rural
46798,0.759441360072851,142,84,1441,0,14,0,60,0.197705207413945,rural
46835,0.635899588056791,3751,2417,29319,2218,1000,1817,1304,0.349460079925176,suburban
46901,0.624622914831703,6466,558,33124,3413,227,1427,1192,0.174043372067205,urban
46902,0.663028953112614,6043,686,30073,2747,773,1203,982,0.237517687487366,suburban
46930,0.809364548494983,24,0,121,0,0,5,0,0.0714285714285714,urban
46938,0.749235408807238,566,26,2709,28,4,35,152,0.159235668789809,rural
46947,0.664044705752264,4802,534,20621,392,460,5533,824,0.129551894217651,rural
46950,0.812260508869641,110,0,555,11,0,0,0,0.1325,rural
46951,0.828143689633715,340,8,1815,0,5,45,9,0.0970724191063174,rural
46970,0.75333443991247,4157,135,19940,1834,137,986,602,0.12986301369863,rural
46349,0.754035442839527,597,12,3228,2,0,21,0,0.110472823685373,rural
46368,0.463787661255459,6457,412,27047,2971,516,7091,1036,0.181004586642801,suburban
46374,0.728722386115181,153,15,834,0,0,39,0,0.11328125,rural
46377,0.672176308539945,58,0,299,0,0,33,0,0.111538461538462,rural
46385,0.56566555894973,6915,886,34756,911,455,2683,593,0.316760691537762,suburban
46408,0.214669875698568,2150,330,5407,7416,77,2301,325,0.110568056067872,suburban
46502,0.806238246730294,0,0,58,0,0,0,0,0,rural
46510,0.840411670655322,546,138,3753,3,8,105,55,0.138479001135074,rural
46530,0.595765578371925,5560,1897,26782,847,2457,842,915,0.522960510759045,suburban
46532,0.723885505873888,196,77,1445,0,0,63,23,0.183199285075961,rural
46940,0.82124894800994,495,2,2573,22,26,21,16,0.13828689370485,rural
46989,0.733734606480621,579,147,4465,88,104,78,212,0.3258104226508,rural
46819,0.573833410784457,1123,424,7052,1206,143,981,275,0.23066725585506,suburban
46845,0.727078976597969,4349,1397,20392,707,746,654,567,0.450843164700393,suburban
46110,0.788847372477896,98,0,583,0,0,0,0,0.0478260869565217,rural
46130,0.788959594606017,316,117,2394,37,0,116,122,0.314862765406525,rural
46143,0.69585646313154,10391,1781,47399,2088,4389,2463,872,0.364041525446345,suburban
46148,0.777200561271026,1108,27,5456,46,0,33,20,0.198273461431356,rural
46151,0.803106851168762,5120,631,30118,275,404,297,495,0.163972180000921,rural
46156,0.783931938681337,104,39,1228,0,0,25,0,0.0730593607305936,rural
46158,0.782069603741752,3968,532,22143,0,170,473,366,0.182038533250466,suburban
46202,0.185380330628726,886,297,11377,5627,1885,836,779,0.538821585903084,urban
46205,0.114920453990329,3595,995,12490,12527,465,1151,947,0.438430019409101,urban
46975,0.74669017410693,2587,234,13348,167,84,558,168,0.168982427462199,rural
46404,0.0191405658017877,3716,302,275,16588,16,833,182,0.12841315536945,suburban
46217,0.628980651148907,8074,732,27134,2384,4363,2159,803,0.334061135371179,suburban
46342,0.481471929282717,5817,450,23045,1526,361,5112,830,0.204094412331407,suburban
46035,0.791818785081592,198,28,1194,35,0,0,0,0.140897755610973,rural
46543,0.833609314577598,602,187,3497,3,0,35,18,0.12867859203693,rural
46792,0.798561507576572,592,51,3588,0,58,57,53,0.163175303197354,rural
46702,0.793788869707044,320,32,2030,0,20,1,23,0.163406940063092,suburban
46787,0.786065793156991,566,139,3670,9,21,129,36,0.15520877266976,rural
46065,0.793593833924665,650,238,3381,3,12,29,19,0.163330300272975,rural
46121,0.809871433270612,681,92,5499,0,0,4,42,0.244952893674293,rural
46180,0.838001649853542,138,33,933,0,0,40,3,0.194366197183099,rural
46259,0.712112131795808,1874,419,10016,100,347,158,378,0.438908989702199,suburban
46037,0.5688114695255,8982,1520,33704,2612,2886,1837,851,0.689423325575381,suburban
