ncesID,corpID,corpName,firstDay2122,enrollment2021,maskMandate,maskMandateDate,virtual,virtualDate,vote16Trump,population,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
1803120,3145,Eastern Hancock Co Com Sch Corp,2021-08-04,1151,FALSE,,FALSE,,0.835794484301402,6177,1221,225,5894,54,0,7,222,0.237579931136252,rural
1803150,3480,Eastern Howard School Corporation,2021-08-03,1522,FALSE,,FALSE,,0.809082396966326,6368,1062,112,6113,6,49,154,46,0.233823206843606,rural
1803180,6835,Randolph Eastern School Corp,2021-08-11,924,FALSE,,FALSE,,0.724536477758634,4971,841,23,4167,0,0,666,138,0.0877039627039627,rural
1803210,7285,Shelby Eastern Schools,2021-08-04,1166,TRUE,2021-09-14,FALSE,,0.775202978609178,8739,1500,143,8458,97,0,27,157,0.209655863681924,rural
1806080,8115,MSD Warren County,2021-08-11,1310,FALSE,,FALSE,,0.765163356822047,6943,1202,44,6677,47,14,143,62,0.166496841247198,rural
1806090,5615,Maconaquah School Corp,2021-08-02,2091,TRUE,2021-08-30,TRUE,2021-08-18,0.796754732119723,14761,2706,155,13080,855,100,534,192,0.12729912875121,rural
1806240,2825,Madison-Grant United School Corp,2021-08-06,1073,FALSE,,FALSE,,0.761004323522521,8130,1595,81,7729,20,4,261,116,0.141134113411341,rural
1806270,8045,Manchester Community Schools,2021-08-11,1397,FALSE,,FALSE,,0.673763750239939,10073,1678,120,9147,203,0,533,190,0.225931077113275,rural
1806390,2865,Marion Community Schools,2021-08-11,3673,TRUE,2021-08-10,FALSE,,0.602176864113176,34655,4492,683,27020,4233,362,1919,1121,0.161804882347757,suburban
1806510,5925,MSD Martinsville Schools,2021-08-11,3947,FALSE,,FALSE,,0.806552023194971,30813,4944,609,29317,275,392,352,477,0.163524686983227,rural
1806570,4925,Michigan City Area Schools,2021-08-18,5317,TRUE,2021-07-01,FALSE,,0.401333450447673,47925,5969,1407,33880,9447,373,2260,1965,0.194350746487549,suburban
1806600,2275,Middlebury Community Schools,2021-08-11,4495,TRUE,2021-09-08,FALSE,,0.799558346273156,22989,4719,1069,20333,271,170,1822,393,0.264836795252226,rural
1806630,6910,Milan Community Schools,2021-08-10,981,FALSE,,FALSE,,0.814571337908144,6238,1043,172,6106,11,30,30,61,0.182192112267118,rural
1806660,3335,Mill Creek Community Sch Corp,2021-07-30,1535,FALSE,,FALSE,,0.816248746501907,9850,1557,334,9213,190,142,54,251,0.2309850834441,rural
1806840,7200,School City of Mishawaka,2021-08-11,5149,TRUE,2021-08-23,FALSE,,0.551484428155835,30478,4411,669,25347,1443,384,1548,1756,0.200138813147588,urban
1806870,2855,Mississinewa Community School Corp,2021-08-13,2448,FALSE,,FALSE,,0.728802409186462,10285,1967,53,9303,233,130,302,317,0.142085051912957,suburban
1806900,5085,Mitchell Community Schools,2021-08-04,1500,TRUE,2021-08-30,FALSE,,0.758407845291407,11614,1820,208,11196,77,31,172,138,0.145092287006478,rural
1807020,1900,Cowan Community School Corp,2021-08-04,805,TRUE,2021-09-07,FALSE,,0.717577393658184,3619,418,52,3580,18,0,0,21,0.276548672566372,rural
1807230,1910,Yorktown Community Schools,2021-08-04,2695,FALSE,,FALSE,,0.625303406384945,13887,2203,133,13061,192,300,105,229,0.295871792271021,suburban
1807080,6820,Monroe Central School Corp,2021-08-11,1096,FALSE,,FALSE,,0.750578543866757,5597,1050,130,5278,0,16,76,227,0.176821363754213,rural
1807110,6620,Eastern Pulaski Community Sch Corp,2021-08-11,1147,FALSE,,FALSE,,0.727793950028188,6823,1191,164,6458,24,75,155,111,0.153988486842105,rural
1807140,5930,Mooresville Con School Corp,2021-08-04,4337,FALSE,,FALSE,,0.777225924624366,24484,4370,519,23670,0,121,518,175,0.187837757586555,suburban
1807260,3135,Mt Vernon Community School Corp,2021-07-29,4420,TRUE,2021-08-18,TRUE,2021-08-23,0.672181643390811,21735,4106,592,18475,1593,238,621,808,0.391503092229094,suburban
1807290,6590,MSD Mount Vernon,2021-08-10,1997,TRUE,2021-07-01,FALSE,,0.680147009492736,15857,2386,808,15041,332,28,261,195,0.218721627020156,rural
1807320,1970,Muncie Community Schools,2021-08-10,4998,TRUE,2021-07-01,FALSE,,0.433694082089561,67664,8055,488,54793,7442,1059,2262,2108,0.226174803191918,suburban
1807350,4740,School Town of Munster,2021-08-11,4119,TRUE,2021-07-01,FALSE,,0.473903416168497,22689,3206,773,17621,873,858,2882,455,0.453732090345993,suburban
1807380,8305,Nettle Creek School Corporation,2021-08-04,1096,FALSE,,FALSE,,0.747879975624287,6868,1202,107,6754,9,0,27,78,0.154827358698043,rural
1803810,8525,Frontier School Corporation,2021-08-05,636,FALSE,,FALSE,,0.726366778416533,3902,659,55,3768,0,12,94,28,0.208596214511041,rural
1803840,1820,Garrett-Keyser-Butler Com Sch Corp,2021-08-12,1719,FALSE,,FALSE,,0.720432366850057,9580,1682,173,9020,79,15,336,130,0.138967136150235,rural
1803870,4690,Gary Community School Corp,2021-08-10,4770,TRUE,2021-07-01,FALSE,,0.0352201336185761,71469,12417,1362,5462,59289,179,5171,1368,0.143917534395517,suburban
1803930,2315,Goshen Community Schools,2021-08-09,6410,TRUE,2021-09-09,FALSE,,0.55207198276858,37851,7081,758,25139,977,654,10147,934,0.238455251328157,suburban
1803940,1010,Greater Clark County Schools,2021-07-28,10477,TRUE,2021-08-09,FALSE,,0.5652328768551,77836,11518,2042,62450,6841,992,4360,3193,0.206251041531653,suburban
1803960,2120,Greater Jasper Consolidated Schs,2021-08-11,3214,TRUE,2021-09-07,FALSE,,0.693960311323085,19779,3124,777,18238,84,115,1192,150,0.270002204099625,urban
1803990,6755,Greencastle Community School Corp,2021-08-04,1737,FALSE,,FALSE,,0.638205479729622,14208,1957,182,12711,227,827,382,61,0.220429455295402,suburban
1804050,3125,Greenfield-Central Com Schools,2021-07-29,4396,TRUE,2021-09-27,FALSE,,0.73890207286567,29008,4493,311,27702,131,191,566,418,0.241667083104293,suburban
1804080,1730,Greensburg Community Schools,2021-08-04,2157,FALSE,,FALSE,,0.76278061895988,14525,2148,568,13535,96,376,377,141,0.222029753413491,rural
1804110,4245,Greenwood Community Sch Corp,2021-08-04,3974,TRUE,2021-08-18,FALSE,,0.68968232340006,24603,4074,536,21406,1000,397,1558,242,0.282396160455057,suburban
1804140,5900,Monroe-Gregg School District,2021-08-04,1467,TRUE,2021-09-15,FALSE,,0.799547471120052,8343,1670,109,8014,10,5,144,170,0.183283159199575,rural
1804170,4700,Griffith Public Schools,2021-08-11,2017,FALSE,,FALSE,,0.405425496184166,16081,2146,294,10532,2510,246,2503,290,0.203527211187316,suburban
1804230,7610,Hamilton Community Schools,2021-08-25,332,FALSE,,FALSE,,0.772382456888348,4099,453,294,3979,4,24,11,81,0.20021528525296,rural
1804260,3025,Hamilton Heights School Corp,2021-08-10,2291,FALSE,,FALSE,,0.769748837635515,13051,2323,73,12558,107,26,316,44,0.264607046070461,rural
1804320,4710,School City of Hammond,2021-08-18,12304,TRUE,2021-07-01,FALSE,,0.282440240272375,77194,14146,2039,28470,16842,864,29470,1548,0.142770043694746,suburban
1804350,4580,Hanover Community School Corp,2021-08-18,2503,TRUE,2021-09-07,FALSE,,0.68204361735062,13482,2157,315,12001,86,155,1064,176,0.236780585550484,suburban
1804470,3490,Western School Corporation,2021-08-11,2589,TRUE,2021-09-13,FALSE,,0.735625749369639,13141,2775,264,12016,444,144,354,183,0.330649798734905,rural
1804500,1885,Wes-Del Community Schools,2021-08-09,859,FALSE,,FALSE,,0.709307183122291,5231,774,167,4855,9,271,64,32,0.233476394849785,rural
1810920,5400,School Town of Speedway,2021-08-03,1841,TRUE,2021-07-01,FALSE,,0.480192805311901,12266,1829,239,6857,3437,308,1109,555,0.318451254887123,urban
1810950,6195,Spencer-Owen Community Schools,2021-08-05,2214,TRUE,2021-08-05,FALSE,,0.750719346984513,17495,2434,645,16768,47,103,262,315,0.14814222932481,rural
1810980,6160,Springs Valley Com School Corp,2021-08-04,845,FALSE,,FALSE,,0.709182325946174,5778,1006,34,5024,477,25,55,197,0.115087040618956,rural
1811100,7615,MSD Steuben County,2021-08-17,2583,FALSE,,FALSE,,0.697746587865233,18282,2783,215,17105,99,102,515,461,0.240277082290102,suburban
1811190,1560,Sunman-Dearborn Com Sch Corp,2021-08-04,3711,FALSE,,FALSE,,0.833830968153167,24864,4510,475,23942,85,195,429,213,0.290822055434076,rural
1811220,7775,Switzerland County School Corp,2021-08-09,1460,FALSE,,FALSE,,0.735896189160795,10685,2043,111,10191,102,41,211,140,0.109058320694885,rural
1811250,3460,Taylor Community School Corp,2021-08-11,1266,FALSE,,FALSE,,0.705534138847215,9263,1547,335,7809,376,554,295,229,0.251396648044693,suburban
1803240,4215,Edinburgh Community School Corp,2021-08-04,843,FALSE,,FALSE,,0.806123942599622,5098,794,57,4480,147,0,339,132,0.0945383975602994,suburban
1803270,2305,Elkhart Community Schools,2021-08-12,11939,TRUE,2021-08-26,FALSE,,0.565207947031985,77331,14016,1648,52707,7328,766,13526,3004,0.179516318759096,suburban
1803300,5280,Elwood Community School Corp,2021-07-29,1440,TRUE,2021-07-01,FALSE,,0.671495062602555,9892,1707,62,9257,2,36,502,95,0.097666378565255,suburban
1803330,5910,Eminence Community School Corp,2021-08-10,345,FALSE,,FALSE,,0.818846561621087,2825,354,63,2719,0,40,58,8,0.137815927515498,rural
1803450,7995,Evansville Vanderburgh School Corp,2021-08-13,22192,TRUE,2021-07-01,FALSE,,0.558243612615616,181291,24293,6639,151571,17223,2238,4814,5445,0.270121474459733,suburban
1803480,2155,Fairfield Community Schools,2021-08-11,2173,FALSE,,FALSE,,0.848447920951963,12429,2028,566,11532,73,62,600,162,0.149937177160408,rural
1803510,2395,Fayette County School Corporation,2021-08-04,3277,FALSE,,FALSE,,0.746456252754568,23194,3555,467,22152,550,8,289,195,0.13272099617803,rural
1807950,6600,MSD North Posey Co Schools,2021-08-10,1449,TRUE,2021-09-07,FALSE,,0.728085474506499,9703,1191,480,9481,41,49,44,88,0.219540396010984,rural
1807890,5620,North Miami Community Schools,2021-08-10,860,FALSE,,FALSE,,0.8300373389995,5846,957,107,5585,37,16,92,116,0.114026717557252,rural
1807900,5835,North Montgomery Com Sch Corp,2021-08-10,1831,FALSE,,FALSE,,0.802315110204045,12449,1834,284,11901,72,10,353,113,0.160150891632373,rural
1807920,5945,North Newton School Corp,2021-08-13,1129,FALSE,,FALSE,,0.750529886507587,9067,1543,78,8604,2,0,435,26,0.122932917316693,rural
1807980,6715,North Putnam Community Schools,2021-08-10,1289,FALSE,,FALSE,,0.81104956278666,9906,1468,92,9785,0,18,60,43,0.18659793814433,rural
1808010,7385,North Spencer County Sch Corp,2021-08-11,2071,FALSE,,FALSE,,0.679320718387878,11484,2069,69,10852,25,37,470,100,0.186787596519181,rural
1801770,6825,Randolph Central School Corp,2021-08-11,1373,FALSE,,FALSE,,0.732426335014694,9149,1442,175,8668,99,0,79,303,0.153834212977336,rural
1801890,4145,Clark-Pleasant Community Sch Corp,2021-07-28,6909,TRUE,2021-09-18,FALSE,,0.717091858873554,38667,7288,801,31655,1508,2712,2112,680,0.300292362529537,suburban
1801920,1000,Clarksville Community School Corp,2021-08-05,3443,TRUE,2021-07-01,FALSE,,0.531351904984559,9480,1274,207,7616,476,37,1038,313,0.163585680751174,suburban
1802040,3470,Northwestern School Corp,2021-08-10,1821,FALSE,,FALSE,,0.765806569204377,8623,1641,135,8064,109,0,181,269,0.296627318718381,rural
1802130,1150,Clinton Central School Corporation,2021-08-04,819,FALSE,,FALSE,,0.794420364301161,4965,736,200,4703,15,42,119,86,0.197321428571429,rural
1802160,1160,Clinton Prairie School Corporation,2021-08-05,1212,FALSE,,FALSE,,0.774359248829923,6028,892,213,5775,47,13,171,22,0.175035528185694,rural
1802190,4940,South Central Com School Corp,2021-08-11,930,FALSE,,FALSE,,0.702423039757035,4037,778,130,3903,0,23,109,2,0.204593639575972,rural
